time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-14 00:00:00+00:00,1,1,0,0
2023-12-20 00:00:00+00:00,0,0,1,1
2023-12-21 00:00:00+00:00,1,1,0,0
2024-01-01 00:00:00+00:00,2,1,0,0
2024-01-13 00:00:00+00:00,1,1,0,0
2024-01-29 00:00:00+00:00,1,1,0,0
2024-02-19 00:00:00+00:00,0,0,1,1
2024-02-28 00:00:00+00:00,0,0,12,1
2024-02-29 00:00:00+00:00,2,2,0,0
2024-03-04 00:00:00+00:00,1,1,0,0
2024-03-11 00:00:00+00:00,1,1,0,0
2024-04-02 00:00:00+00:00,0,0,1,1
2024-04-18 00:00:00+00:00,1,1,0,0
2024-04-19 00:00:00+00:00,0,0,1,1
2024-04-23 00:00:00+00:00,0,0,7,1
2024-04-28 00:00:00+00:00,1,1,38,1
2024-05-06 00:00:00+00:00,0,0,4,1
2024-05-09 00:00:00+00:00,1,1,0,0
2024-05-14 00:00:00+00:00,0,0,2,2
2024-06-09 00:00:00+00:00,1,1,0,0
2024-07-19 00:00:00+00:00,0,0,1,1
2024-07-23 00:00:00+00:00,0,0,1,1
2024-07-26 00:00:00+00:00,2,1,0,0
2024-08-01 00:00:00+00:00,2,1,0,0
2024-08-02 00:00:00+00:00,2,1,0,0
2024-08-03 00:00:00+00:00,1,1,0,0
2024-08-07 00:00:00+00:00,2,2,0,0
2024-08-09 00:00:00+00:00,2,2,0,0
2024-08-10 00:00:00+00:00,1,1,0,0
2024-08-11 00:00:00+00:00,1,1,0,0
2024-08-13 00:00:00+00:00,1,1,0,0
