time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-06 00:00:00+00:00,0,0,1,1
2023-12-17 00:00:00+00:00,1,1,0,0
2023-12-28 00:00:00+00:00,4,2,0,0
2024-01-14 00:00:00+00:00,1,1,0,0
2024-01-28 00:00:00+00:00,1,1,0,0
2024-01-29 00:00:00+00:00,1,1,0,0
2024-02-15 00:00:00+00:00,0,0,1,1
2024-03-03 00:00:00+00:00,1,1,5,1
2024-03-10 00:00:00+00:00,1,1,0,0
2024-03-28 00:00:00+00:00,1,1,0,0
2024-05-09 00:00:00+00:00,1,1,0,0
2024-06-05 00:00:00+00:00,1,1,0,0
2024-06-09 00:00:00+00:00,1,1,0,0
2024-06-10 00:00:00+00:00,1,1,0,0
2024-07-24 00:00:00+00:00,0,0,5,1
2024-07-26 00:00:00+00:00,1,1,0,0
2024-08-02 00:00:00+00:00,1,1,0,0
2024-08-04 00:00:00+00:00,1,1,0,0
