time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-04 00:00:00+00:00,0,0,1,1
2023-12-11 00:00:00+00:00,0,0,1,1
2023-12-12 00:00:00+00:00,0,0,1,1
2023-12-13 00:00:00+00:00,1,1,0,0
2023-12-19 00:00:00+00:00,2,2,0,0
2023-12-28 00:00:00+00:00,0,0,1,1
2023-12-30 00:00:00+00:00,4,2,0,0
2024-01-01 00:00:00+00:00,2,1,0,0
2024-01-11 00:00:00+00:00,2,2,0,0
2024-01-13 00:00:00+00:00,1,1,0,0
2024-01-29 00:00:00+00:00,4,2,0,0
2024-02-12 00:00:00+00:00,2,1,0,0
2024-02-27 00:00:00+00:00,1,1,0,0
2024-03-04 00:00:00+00:00,1,1,0,0
2024-03-06 00:00:00+00:00,0,0,1,1
2024-03-20 00:00:00+00:00,1,1,0,0
2024-04-24 00:00:00+00:00,0,0,1,1
2024-04-29 00:00:00+00:00,0,0,6,1
2024-05-02 00:00:00+00:00,1,1,0,0
2024-05-09 00:00:00+00:00,1,1,0,0
2024-05-15 00:00:00+00:00,0,0,7,1
2024-05-23 00:00:00+00:00,0,0,20,1
2024-06-02 00:00:00+00:00,1,1,0,0
2024-06-04 00:00:00+00:00,1,1,6,1
2024-06-09 00:00:00+00:00,2,1,0,0
2024-06-13 00:00:00+00:00,0,0,1,1
2024-06-25 00:00:00+00:00,0,0,1,1
2024-07-02 00:00:00+00:00,0,0,1,1
2024-07-07 00:00:00+00:00,0,0,1,1
2024-07-18 00:00:00+00:00,0,0,5,1
2024-07-19 00:00:00+00:00,0,0,1,1
2024-07-22 00:00:00+00:00,0,0,1,1
2024-07-26 00:00:00+00:00,2,1,0,0
2024-08-01 00:00:00+00:00,1,1,0,0
2024-08-02 00:00:00+00:00,2,1,0,0
2024-08-03 00:00:00+00:00,1,1,0,0
