time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-18 00:00:00+00:00,1,1,0,0
2024-11-21 00:00:00+00:00,1,1,0,0
2024-11-23 00:00:00+00:00,0,0,3,1
2024-11-25 00:00:00+00:00,0,0,2,2
2024-11-26 00:00:00+00:00,0,0,1,1
2024-11-27 00:00:00+00:00,1,1,0,0
2024-11-29 00:00:00+00:00,0,0,27,2
2024-12-02 00:00:00+00:00,0,0,5,1
2024-12-03 00:00:00+00:00,0,0,2,2
2024-12-04 00:00:00+00:00,1,1,14,2
2024-12-11 00:00:00+00:00,1,1,0,0
2024-12-13 00:00:00+00:00,0,0,1,1
2024-12-16 00:00:00+00:00,0,0,2,1
2024-12-18 00:00:00+00:00,1,1,0,0
2024-12-19 00:00:00+00:00,0,0,6,1
2024-12-20 00:00:00+00:00,0,0,1,1
2024-12-25 00:00:00+00:00,1,1,0,0
2024-12-30 00:00:00+00:00,56,3,28,1
2025-01-01 00:00:00+00:00,1,1,0,0
2025-01-06 00:00:00+00:00,33,2,36,5
2025-01-08 00:00:00+00:00,33,1,42,5
2025-01-09 00:00:00+00:00,33,2,31,3
2025-01-11 00:00:00+00:00,1,1,0,0
2025-01-14 00:00:00+00:00,2,2,12,1
2025-01-15 00:00:00+00:00,1,1,9,1
2025-01-16 00:00:00+00:00,1,1,4,2
2025-01-17 00:00:00+00:00,2,2,25,1
2025-01-21 00:00:00+00:00,0,0,1,1
2025-01-22 00:00:00+00:00,1,1,0,0
2025-01-27 00:00:00+00:00,0,0,25,2
2025-01-28 00:00:00+00:00,0,0,1,1
2025-01-29 00:00:00+00:00,1,1,2,1
2025-01-30 00:00:00+00:00,0,0,49,4
2025-01-31 00:00:00+00:00,0,0,13,2
2025-02-02 00:00:00+00:00,0,0,1,1
2025-02-03 00:00:00+00:00,0,0,25,2
2025-02-04 00:00:00+00:00,68,7,259,3
2025-02-05 00:00:00+00:00,76,5,109,3
2025-02-06 00:00:00+00:00,0,0,28,2
2025-02-09 00:00:00+00:00,1,1,0,0
