time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-13 00:00:00+00:00,1,1,0,0
2023-12-18 00:00:00+00:00,6,3,0,0
2023-12-22 00:00:00+00:00,2,1,0,0
2023-12-27 00:00:00+00:00,2,1,0,0
2024-01-04 00:00:00+00:00,1,1,0,0
2024-01-05 00:00:00+00:00,0,0,1,1
2024-01-09 00:00:00+00:00,1,1,0,0
2024-01-11 00:00:00+00:00,1,1,0,0
2024-01-13 00:00:00+00:00,1,1,0,0
2024-01-26 00:00:00+00:00,2,1,0,0
2024-01-29 00:00:00+00:00,6,2,0,0
2024-02-05 00:00:00+00:00,0,0,1,1
2024-02-08 00:00:00+00:00,0,0,1,1
2024-02-15 00:00:00+00:00,0,0,1,1
2024-02-29 00:00:00+00:00,1,1,0,0
2024-03-02 00:00:00+00:00,1,1,0,0
2024-03-08 00:00:00+00:00,1,1,0,0
2024-03-13 00:00:00+00:00,0,0,1,1
2024-03-18 00:00:00+00:00,0,0,5,1
2024-04-05 00:00:00+00:00,0,0,1,1
2024-04-22 00:00:00+00:00,1,1,0,0
2024-04-28 00:00:00+00:00,1,1,1,1
2024-05-02 00:00:00+00:00,3,1,1,1
2024-05-09 00:00:00+00:00,1,1,0,0
2024-06-01 00:00:00+00:00,1,1,0,0
2024-06-03 00:00:00+00:00,0,0,1,1
2024-06-09 00:00:00+00:00,1,1,0,0
2024-07-26 00:00:00+00:00,3,1,0,0
2024-08-01 00:00:00+00:00,1,1,0,0
2024-08-02 00:00:00+00:00,3,1,0,0
2024-08-03 00:00:00+00:00,1,1,0,0
2024-08-04 00:00:00+00:00,1,1,0,0
2024-08-05 00:00:00+00:00,1,1,0,0
2024-08-08 00:00:00+00:00,1,1,0,0
2024-08-09 00:00:00+00:00,1,1,0,0
2024-08-10 00:00:00+00:00,1,1,0,0
2024-08-11 00:00:00+00:00,1,1,0,0
2024-08-12 00:00:00+00:00,1,1,0,0
2024-08-13 00:00:00+00:00,1,1,0,0
2024-08-14 00:00:00+00:00,1,1,0,0
2024-08-17 00:00:00+00:00,1,1,0,0
2024-08-19 00:00:00+00:00,1,1,9,1
2024-08-20 00:00:00+00:00,1,1,0,0
2024-08-21 00:00:00+00:00,1,1,0,0
2024-08-22 00:00:00+00:00,1,1,0,0
2024-08-23 00:00:00+00:00,1,1,0,0
2024-08-24 00:00:00+00:00,1,1,0,0
2024-08-26 00:00:00+00:00,1,1,0,0
2024-08-29 00:00:00+00:00,1,1,1,1
2024-08-31 00:00:00+00:00,1,1,0,0
2024-09-01 00:00:00+00:00,1,1,0,0
2024-09-02 00:00:00+00:00,1,1,0,0
2024-09-04 00:00:00+00:00,1,1,0,0
2024-09-06 00:00:00+00:00,1,1,0,0
2024-09-07 00:00:00+00:00,1,1,0,0
2024-09-08 00:00:00+00:00,1,1,0,0
2024-09-09 00:00:00+00:00,1,1,0,0
2024-09-10 00:00:00+00:00,1,1,0,0
