time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-28 00:00:00+00:00,0,0,1,1
2024-12-04 00:00:00+00:00,0,0,5,3
2024-12-13 00:00:00+00:00,0,0,1,1
2024-12-14 00:00:00+00:00,0,0,1,1
2024-12-16 00:00:00+00:00,0,0,1,1
2025-01-02 00:00:00+00:00,0,0,1,1
2025-01-06 00:00:00+00:00,0,0,1,1
2025-01-12 00:00:00+00:00,1,1,0,0
2025-01-14 00:00:00+00:00,0,0,1,1
2025-01-21 00:00:00+00:00,0,0,4,1
2025-01-26 00:00:00+00:00,0,0,1,1
2025-01-27 00:00:00+00:00,0,0,1,1
2025-02-11 00:00:00+00:00,1,1,0,0
