time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-06 00:00:00+00:00,1,1,0,0
2023-12-10 00:00:00+00:00,1,1,0,0
2023-12-13 00:00:00+00:00,1,1,1,1
2023-12-23 00:00:00+00:00,0,0,1,1
2023-12-30 00:00:00+00:00,2,1,0,0
2024-01-03 00:00:00+00:00,0,0,1,1
2024-01-04 00:00:00+00:00,1,1,0,0
2024-01-13 00:00:00+00:00,1,1,0,0
2024-01-23 00:00:00+00:00,2,1,0,0
2024-01-26 00:00:00+00:00,2,1,0,0
2024-01-29 00:00:00+00:00,2,1,0,0
2024-02-26 00:00:00+00:00,1,1,0,0
2024-02-27 00:00:00+00:00,0,0,6,3
2024-02-28 00:00:00+00:00,0,0,2,1
2024-03-01 00:00:00+00:00,1,1,0,0
2024-03-02 00:00:00+00:00,0,0,3,1
2024-03-06 00:00:00+00:00,0,0,3,1
2024-03-07 00:00:00+00:00,0,0,1,1
2024-03-11 00:00:00+00:00,1,1,0,0
2024-03-18 00:00:00+00:00,1,1,0,0
2024-03-23 00:00:00+00:00,0,0,8,1
2024-03-26 00:00:00+00:00,0,0,1,1
2024-03-29 00:00:00+00:00,1,1,0,0
2024-04-14 00:00:00+00:00,1,1,0,0
2024-04-28 00:00:00+00:00,1,1,0,0
2024-05-02 00:00:00+00:00,1,1,0,0
2024-05-09 00:00:00+00:00,1,1,0,0
2024-05-14 00:00:00+00:00,0,0,1,1
2024-05-31 00:00:00+00:00,0,0,3,1
2024-06-04 00:00:00+00:00,0,0,1,1
2024-06-06 00:00:00+00:00,0,0,2,1
2024-06-09 00:00:00+00:00,1,1,0,0
2024-06-13 00:00:00+00:00,1,1,0,0
2024-06-14 00:00:00+00:00,1,1,0,0
2024-07-01 00:00:00+00:00,1,1,0,0
2024-07-03 00:00:00+00:00,0,0,1,1
2024-07-05 00:00:00+00:00,0,0,1,1
2024-07-10 00:00:00+00:00,0,0,1,1
2024-07-11 00:00:00+00:00,0,0,3,2
2024-07-12 00:00:00+00:00,1,1,0,0
2024-07-18 00:00:00+00:00,0,0,1,1
2024-07-19 00:00:00+00:00,0,0,1,1
2024-07-26 00:00:00+00:00,3,1,0,0
2024-08-02 00:00:00+00:00,3,1,0,0
2024-08-03 00:00:00+00:00,1,1,0,0
2024-08-04 00:00:00+00:00,1,1,0,0
2024-08-05 00:00:00+00:00,1,1,0,0
2024-08-07 00:00:00+00:00,1,1,0,0
2024-08-09 00:00:00+00:00,0,0,1,1
2024-08-10 00:00:00+00:00,1,1,0,0
2024-08-11 00:00:00+00:00,1,1,0,0
2024-08-12 00:00:00+00:00,2,2,0,0
2024-08-16 00:00:00+00:00,1,1,0,0
2024-08-17 00:00:00+00:00,1,1,0,0
2024-08-18 00:00:00+00:00,1,1,1,1
2024-08-19 00:00:00+00:00,1,1,0,0
2024-08-20 00:00:00+00:00,1,1,0,0
2024-08-21 00:00:00+00:00,1,1,0,0
2024-08-23 00:00:00+00:00,1,1,0,0
2024-08-24 00:00:00+00:00,1,1,0,0
2024-08-25 00:00:00+00:00,1,1,0,0
2024-08-27 00:00:00+00:00,1,1,0,0
2024-08-28 00:00:00+00:00,1,1,0,0
2024-08-29 00:00:00+00:00,1,1,0,0
2024-08-31 00:00:00+00:00,1,1,0,0
2024-09-02 00:00:00+00:00,1,1,2,2
2024-09-03 00:00:00+00:00,1,1,0,0
2024-09-04 00:00:00+00:00,1,1,0,0
2024-09-07 00:00:00+00:00,1,1,0,0
2024-09-08 00:00:00+00:00,1,1,0,0
2024-09-10 00:00:00+00:00,1,1,0,0
2024-09-12 00:00:00+00:00,0,0,1,1
2024-09-15 00:00:00+00:00,1,1,0,0
2024-09-16 00:00:00+00:00,0,0,1,1
2024-09-26 00:00:00+00:00,0,0,1,1
2024-09-30 00:00:00+00:00,0,0,1,1
2024-10-10 00:00:00+00:00,0,0,1,1
