time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-18 00:00:00+00:00,1,1,0,0
2024-11-19 00:00:00+00:00,1,1,0,0
2024-11-23 00:00:00+00:00,1,1,0,0
2024-11-30 00:00:00+00:00,1,1,0,0
2024-12-07 00:00:00+00:00,1,1,0,0
2024-12-11 00:00:00+00:00,0,0,1,1
2024-12-14 00:00:00+00:00,1,1,0,0
2024-12-21 00:00:00+00:00,1,1,0,0
2024-12-28 00:00:00+00:00,1,1,0,0
2025-01-02 00:00:00+00:00,0,0,7,1
2025-01-04 00:00:00+00:00,1,1,0,0
2025-01-11 00:00:00+00:00,1,1,0,0
2025-01-12 00:00:00+00:00,1,1,0,0
2025-01-15 00:00:00+00:00,1,1,0,0
2025-01-18 00:00:00+00:00,1,1,0,0
2025-01-25 00:00:00+00:00,1,1,0,0
2025-01-31 00:00:00+00:00,0,0,3,1
2025-02-01 00:00:00+00:00,1,1,0,0
