time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-13 00:00:00+00:00,1,1,1,1
2023-12-15 00:00:00+00:00,0,0,1,1
2023-12-30 00:00:00+00:00,2,1,0,0
2024-01-05 00:00:00+00:00,0,0,1,1
2024-01-12 00:00:00+00:00,1,1,0,0
2024-01-15 00:00:00+00:00,1,1,0,0
2024-01-28 00:00:00+00:00,0,0,6,1
2024-01-29 00:00:00+00:00,1,1,0,0
2024-02-18 00:00:00+00:00,1,1,0,0
2024-02-19 00:00:00+00:00,0,0,1,1
2024-02-20 00:00:00+00:00,0,0,1,1
2024-02-23 00:00:00+00:00,0,0,5,1
2024-03-03 00:00:00+00:00,0,0,1,1
2024-03-09 00:00:00+00:00,1,1,0,0
2024-03-10 00:00:00+00:00,1,1,0,0
2024-03-14 00:00:00+00:00,0,0,6,1
2024-03-19 00:00:00+00:00,0,0,17,1
2024-03-21 00:00:00+00:00,0,0,1,1
2024-03-29 00:00:00+00:00,0,0,1,1
2024-04-24 00:00:00+00:00,0,0,6,1
2024-04-25 00:00:00+00:00,2,1,0,0
2024-04-26 00:00:00+00:00,2,1,12,2
2024-04-29 00:00:00+00:00,0,0,2,1
2024-04-30 00:00:00+00:00,1,1,0,0
2024-05-03 00:00:00+00:00,0,0,1,1
2024-05-05 00:00:00+00:00,1,1,0,0
2024-05-06 00:00:00+00:00,0,0,5,1
2024-05-09 00:00:00+00:00,1,1,0,0
2024-05-10 00:00:00+00:00,1,1,0,0
2024-05-28 00:00:00+00:00,0,0,1,1
2024-05-31 00:00:00+00:00,1,1,0,0
2024-06-01 00:00:00+00:00,0,0,1,1
2024-06-04 00:00:00+00:00,0,0,12,1
2024-06-09 00:00:00+00:00,1,1,0,0
2024-06-12 00:00:00+00:00,1,1,0,0
2024-07-02 00:00:00+00:00,0,0,6,1
2024-07-06 00:00:00+00:00,0,0,1,1
2024-07-12 00:00:00+00:00,1,1,0,0
2024-07-15 00:00:00+00:00,0,0,1,1
2024-07-16 00:00:00+00:00,0,0,1,1
2024-07-20 00:00:00+00:00,0,0,6,1
2024-07-22 00:00:00+00:00,0,0,1,1
2024-07-23 00:00:00+00:00,1,1,0,0
2024-07-26 00:00:00+00:00,3,1,0,0
2024-08-02 00:00:00+00:00,1,1,1,1
2024-08-03 00:00:00+00:00,1,1,0,0
2024-08-05 00:00:00+00:00,1,1,0,0
2024-08-06 00:00:00+00:00,1,1,0,0
2024-08-07 00:00:00+00:00,1,1,0,0
2024-08-08 00:00:00+00:00,1,1,0,0
2024-08-09 00:00:00+00:00,1,1,0,0
2024-08-13 00:00:00+00:00,1,1,0,0
2024-08-14 00:00:00+00:00,1,1,0,0
2024-08-16 00:00:00+00:00,1,1,0,0
2024-08-18 00:00:00+00:00,1,1,0,0
2024-08-19 00:00:00+00:00,1,1,0,0
2024-08-21 00:00:00+00:00,1,1,0,0
2024-08-23 00:00:00+00:00,1,1,0,0
2024-08-25 00:00:00+00:00,1,1,0,0
2024-08-26 00:00:00+00:00,1,1,0,0
2024-09-01 00:00:00+00:00,1,1,0,0
2024-09-02 00:00:00+00:00,1,1,1,1
2024-09-03 00:00:00+00:00,1,1,0,0
2024-09-04 00:00:00+00:00,1,1,0,0
2024-09-06 00:00:00+00:00,1,1,0,0
2024-09-08 00:00:00+00:00,1,1,0,0
2024-09-09 00:00:00+00:00,1,1,0,0
2024-09-10 00:00:00+00:00,1,1,0,0
2024-09-15 00:00:00+00:00,0,0,7,1
2024-10-09 00:00:00+00:00,0,0,1,1
2024-10-10 00:00:00+00:00,0,0,2,1
2024-10-15 00:00:00+00:00,1,1,0,0
